,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Flux NoSub,Peak Flux,Fancy Onset,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4
59,2016-01-19 20:47:00.000,2016-01-19 21:12:00.000,2016-01-19 21:44:00.000,B5.5,-737.14524,-184.020456,2487,2016-01-19 21:09:37.941,2016-01-19 20:43:10,,8.192320122095579,2016-01-19 21:09:37.941,2016-01-19 21:09:37.941,9.717165906975927,,,,,,,
60,2016-01-20 00:58:00.000,2016-01-20 01:02:00.000,2016-01-20 01:04:00.000,B3.7,-904.00926,82.576272,0,2016-01-20 01:01:52.571,2016-01-20 00:59:00,,9.574136322146584,2016-01-20 01:01:52.571,2016-01-20 01:01:52.571,,,,,,,,
61,2016-01-20 04:40:00.000,2016-01-20 04:46:00.000,2016-01-20 04:52:00.000,B6.6,910.43844,147.328818,2484,2016-01-20 04:45:59.768,2016-01-20 04:41:00.000,,10.334464978593896,2016-01-20 04:45:59.768,2016-01-20 04:45:59.768,,,,,,,,
62,2016-01-20 07:30:00.000,2016-01-20 07:34:00.000,2016-01-20 07:36:00.000,C1.3,916.00398,145.988508,2484,2016-01-20 07:34:24.575,2016-01-20 07:31:00.000,,10.689128857346521,2016-01-20 07:34:24.575,2016-01-20 07:34:24.575,,,,,,,,
63,2016-01-20 08:09:00.000,2016-01-20 08:13:00.000,2016-01-20 08:18:00.000,B4.9,921.29562,144.592224,2484,2016-01-20 08:13:15.185,2016-01-20 08:10:00.000,,9.263426353128057,2016-01-20 08:13:15.185,2016-01-20 08:13:15.185,,,,,,,,
64,2016-01-20 08:45:00.000,2016-01-20 08:49:00.000,2016-01-20 09:00:00.000,B5.2,926.30562,143.185836,2484,2016-01-20 08:49:19.905,2016-01-20 08:46:00.000,,9.338342931099676,2016-01-20 08:49:19.905,2016-01-20 08:49:19.905,,,,,,,,
65,2016-01-20 09:11:00.000,2016-01-20 09:18:00.000,2016-01-20 09:21:00.000,B8.4,921.2925,144.61188,2484,2016-01-20 09:18:22.741,2016-01-20 09:12:00,,10.074631388860261,2016-01-20 09:18:22.741,2016-01-20 09:18:22.741,9.69069410827769,,,,,,,
66,2016-01-20 11:15:00.000,2016-01-20 11:19:00.000,2016-01-20 11:24:00.000,B9.6,-688.01892,-144.45069,2487,2016-01-20 11:19:39.225,2016-01-20 11:16:10,,10.657765856938992,2016-01-20 11:19:39.225,2016-01-20 11:19:39.225,,,,,,,,
67,2016-01-20 14:25:00.000,2016-01-20 14:32:00.000,2016-01-20 14:34:00.000,C1.3,-676.35054,-143.268846,2487,2016-01-20 14:32:26.221,2016-01-20 14:25:30,,11.437067624172656,2016-01-20 14:32:26.221,2016-01-20 14:32:26.221,,,,,,,,
68,2016-01-20 16:37:00.000,2016-01-20 16:40:00.000,2016-01-20 16:42:00.000,B4.1,-652.4028,-141.145554,2487,2016-01-20 16:40:46.641,2016-01-20 16:38:00,,8.973401728658418,2016-01-20 16:40:46.641,2016-01-20 16:40:46.641,10.188146023175563,9.341378562728472,9.873854864518849,10.09545422949851,10.155459801468497,10.014041327224476,9.491924507643668,9.27958731681104
69,2016-01-20 17:04:00.000,2016-01-20 17:09:00.000,2016-01-20 17:13:00.000,B4.8,-640.1274,-140.141016,2487,2016-01-20 17:09:22.855,2016-01-20 17:05:00,,8.643240416249844,2016-01-20 17:09:22.855,2016-01-20 17:09:22.855,,,,,,,,
70,2016-01-20 17:38:00.000,2016-01-20 17:41:00.000,2016-01-20 17:44:00.000,B3.8,-652.40058,-141.096144,2487,2016-01-20 17:40:51.101,2016-01-20 17:39:00.000,,11.329437510330601,2016-01-20 17:40:51.101,2016-01-20 17:40:51.101,,,,,,,,
71,2016-01-21 01:17:00.000,2016-01-21 01:45:00.000,2016-01-21 01:53:00.000,C2.9,-562.464096,-134.210274,2487,2016-01-21 01:45:34.765,2016-01-21 01:18:00.000,,10.10381760532713,2016-01-21 01:45:34.765,2016-01-21 01:45:34.765,9.4134417570882,,,,,,,
72,2016-01-21 05:36:00.000,2016-01-21 05:42:00.000,2016-01-21 05:52:00.000,C1.3,-755.4141,155.982816,2488,2016-01-21 05:41:53.088,2016-01-21 05:34:20,,9.135084188374043,2016-01-21 05:41:53.088,2016-01-21 05:41:53.088,9.773050720822223,,,,,,,
73,2016-01-21 05:36:00.000,2016-01-21 05:42:00.000,2016-01-21 05:52:00.000,C1.3,-755.4141,155.982816,2488,2016-01-21 05:41:53.088,2016-01-21 05:34:20,,9.135084188374043,2016-01-21 05:41:53.088,2016-01-21 05:41:53.088,9.773050720822223,,,,,,,
74,2016-01-21 08:01:00.000,2016-01-21 08:13:00.000,2016-01-21 08:27:00.000,C1.1,953.30892,133.314456,2484,2016-01-21 08:12:47.258,2016-01-21 08:01:20,,8.576682340791734,2016-01-21 08:12:47.258,2016-01-21 08:12:47.258,9.295257991969955,,,,,,,
75,2016-01-21 13:22:00.000,2016-01-21 13:51:00.000,2016-01-21 14:19:00.000,C1.4,-476.714862,-145.631136,2487,2016-01-21 13:51:06.855,2016-01-21 13:20:50,,8.21934399084833,2016-01-21 13:51:06.855,2016-01-21 13:51:06.855,9.136866459224024,,,,,,,
76,2016-01-22 02:22:00.000,2016-01-22 02:43:00.000,2016-01-22 03:00:00.000,B3.9,210.58263,-202.946022,0,2016-01-22 02:43:33.018,2016-01-22 02:23:00.000,,8.207953990969248,2016-01-22 02:43:33.018,2016-01-22 02:43:33.018,,,,,,,,
77,2016-01-22 02:23:00.000,2016-01-22 02:43:00.000,2016-01-22 02:51:00.000,B3.8,-615.41442,85.401246,2488,2016-01-22 02:43:33.018,2016-01-22 02:24:00.000,,8.87456586057314,2016-01-22 02:43:33.018,2016-01-22 02:43:33.018,,,,,,,,
